Record Length,Analog:7000,
Sample Interval,Analog:4.000000E-08,
Vertical Units,CH1:V, CH2:V,,
Vertical Scale,CH1:+1.000000E-01, CH2:+5.000000E+00,,
Vertical Offset,CH1:+2.000000E-03, CH2:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+2.000000E+01,
Model Number,SDS1202X-E,
Serial Number,SDS1EEFX803349,
Software Version,1.3.27,
Source,CH1,CH2
Second,Value,Value
-1.236000E-04,+1.260000E-01,+4.400000E+00
-1.235600E-04,+1.220000E-01,+4.600000E+00
-1.235200E-04,+1.260000E-01,+4.400000E+00
-1.234800E-04,+1.260000E-01,+4.600000E+00
-1.234400E-04,+1.260000E-01,+4.200000E+00
-1.234000E-04,+1.220000E-01,+4.400000E+00
-1.233600E-04,+1.260000E-01,+4.400000E+00
-1.233200E-04,+1.260000E-01,+4.600000E+00
-1.232800E-04,+1.260000E-01,+4.600000E+00
-1.232400E-04,+1.220000E-01,+4.400000E+00
-1.232000E-04,+1.180000E-01,+4.200000E+00
-1.231600E-04,+1.180000E-01,+4.400000E+00
-1.231200E-04,+1.180000E-01,+4.400000E+00
-1.230800E-04,+1.180000E-01,+4.600000E+00
-1.230400E-04,+1.180000E-01,+4.600000E+00
-1.230000E-04,+1.220000E-01,+4.400000E+00
-1.229600E-04,+1.180000E-01,+4.600000E+00
-1.229200E-04,+1.220000E-01,+4.400000E+00
-1.228800E-04,+1.180000E-01,+4.400000E+00
-1.228400E-04,+1.180000E-01,+4.400000E+00
-1.228000E-04,+1.180000E-01,+4.400000E+00
-1.227600E-04,+1.220000E-01,+4.400000E+00
-1.227200E-04,+1.180000E-01,+4.400000E+00
-1.226800E-04,+1.180000E-01,+4.600000E+00
-1.226400E-04,+1.140000E-01,+4.400000E+00
-1.226000E-04,+1.180000E-01,+4.400000E+00
-1.225600E-04,+1.180000E-01,+4.400000E+00
-1.225200E-04,+1.140000E-01,+4.600000E+00
-1.224800E-04,+1.180000E-01,+4.400000E+00
-1.224400E-04,+1.140000E-01,+4.400000E+00
-1.224000E-04,+1.140000E-01,+4.200000E+00
-1.223600E-04,+1.180000E-01,+4.200000E+00
-1.223200E-04,+1.180000E-01,+4.200000E+00
-1.222800E-04,+1.180000E-01,+4.200000E+00
-1.222400E-04,+1.140000E-01,+4.400000E+00
-1.222000E-04,+1.140000E-01,+4.600000E+00
-1.221600E-04,+1.100000E-01,+4.200000E+00
-1.221200E-04,+1.100000E-01,+4.200000E+00
-1.220800E-04,+1.100000E-01,+4.200000E+00
-1.220400E-04,+1.140000E-01,+4.200000E+00
-1.220000E-04,+1.140000E-01,+4.200000E+00
-1.219600E-04,+1.060000E-01,+4.200000E+00
-1.219200E-04,+1.100000E-01,+4.200000E+00
-1.218800E-04,+1.100000E-01,+4.200000E+00
-1.218400E-04,+1.100000E-01,+4.200000E+00
-1.218000E-04,+1.060000E-01,+4.200000E+00
-1.217600E-04,+1.060000E-01,+4.200000E+00
-1.217200E-04,+1.100000E-01,+4.200000E+00
-1.216800E-04,+1.060000E-01,+4.400000E+00
-1.216400E-04,+1.060000E-01,+4.200000E+00
-1.216000E-04,+1.100000E-01,+4.200000E+00
-1.215600E-04,+1.020000E-01,+4.000000E+00
-1.215200E-04,+1.060000E-01,+4.000000E+00
-1.214800E-04,+1.100000E-01,+4.200000E+00
-1.214400E-04,+1.060000E-01,+4.200000E+00
-1.214000E-04,+1.060000E-01,+4.200000E+00
-1.213600E-04,+1.020000E-01,+4.000000E+00
-1.213200E-04,+1.060000E-01,+4.000000E+00
-1.212800E-04,+1.020000E-01,+4.000000E+00
-1.212400E-04,+9.800000E-02,+4.200000E+00
-1.212000E-04,+9.800000E-02,+4.000000E+00
-1.211600E-04,+9.800000E-02,+4.200000E+00
-1.211200E-04,+1.020000E-01,+4.000000E+00
-1.210800E-04,+9.800000E-02,+4.000000E+00
-1.210400E-04,+9.800000E-02,+4.200000E+00
-1.210000E-04,+9.400000E-02,+4.000000E+00
-1.209600E-04,+1.020000E-01,+4.000000E+00
-1.209200E-04,+9.800000E-02,+4.000000E+00
-1.208800E-04,+9.400000E-02,+4.000000E+00
-1.208400E-04,+9.800000E-02,+3.800000E+00
-1.208000E-04,+9.400000E-02,+3.800000E+00
-1.207600E-04,+9.800000E-02,+4.000000E+00
-1.207200E-04,+9.000001E-02,+3.800000E+00
-1.206800E-04,+9.400000E-02,+3.800000E+00
-1.206400E-04,+9.400000E-02,+3.800000E+00
-1.206000E-04,+9.000001E-02,+3.800000E+00
-1.205600E-04,+9.000001E-02,+3.800000E+00
-1.205200E-04,+9.000001E-02,+3.800000E+00
-1.204800E-04,+8.600001E-02,+3.800000E+00
-1.204400E-04,+9.000001E-02,+3.800000E+00
-1.204000E-04,+8.600001E-02,+4.000000E+00
-1.203600E-04,+8.600001E-02,+4.000000E+00
-1.203200E-04,+8.200001E-02,+3.800000E+00
