Frequency (Hz),Correction Factor (dB)
3617.578125,-1.490784
3622.961426,-1.506435
3628.344727,-1.59571099999999
3633.728027,-1.585404
3639.111328,-1.63591799999999
3644.494629,-1.804218
3649.87793,-1.772583
3655.26123,-1.621617
3660.644531,-1.621105
3666.027832,-1.60836800000001
3671.411133,-1.629814
3676.794434,-1.640518
3682.177734,-1.534568
3687.561035,-1.579208
3692.944336,-1.569286
3698.327637,-1.650105
3703.710938,-1.575665
3709.094238,-1.776715
3714.477539,-2.002602
3719.86084,-2.168072
3725.244141,-2.32517600000001
3730.627441,-2.9506
3736.010742,-3.187161
3741.394043,-3.371761
3746.777344,-3.720108
3752.160645,-3.95483
3757.543945,-4.26511799999999
3762.927246,-4.591686
3768.310547,-4.785458
3773.693848,-5.096382
3779.077148,-5.524219
3784.460449,-5.83611699999999
3789.84375,-6.290806
3795.227051,-6.515499
3800.610352,-6.455159
3805.993652,-6.993283
3811.376953,-7.152202
3816.760254,-7.21896
3822.143555,-7.518063
3827.526855,-7.736057
3832.910156,-8.2341
3838.293457,-8.525272
3843.676758,-8.62354600000001
3849.060059,-8.865383
3854.443359,-8.906204
3859.82666,-9.297962
3865.209961,-9.68068699999999
3870.593262,-9.895172
3875.976562,-10.207943
3881.359863,-10.506153
3886.743164,-10.670288
3892.126465,-10.753483
3897.509766,-10.87973
3902.893066,-11.068165
3908.276367,-11.169807
3913.659668,-11.238659
3919.042969,-11.41259
3924.42627,-11.878902
3929.80957,-11.955352
3935.192871,-11.751999
3940.576172,-11.740326
3945.959473,-11.837807
3951.342773,-11.849056
3956.726074,-11.81189
3962.109375,-11.728229
3967.492676,-11.766098
3972.875977,-12.0079
3978.259277,-12.222798
3983.642578,-12.372001
3989.025879,-12.499256
3994.40918,-12.455658
3999.79248,-12.386959
4005.175781,-12.674275
4010.559082,-12.868469
4015.942383,-13.13435
4021.325684,-13.377716
4026.708984,-13.559028
4032.092285,-13.622131
4037.475586,-13.802185
4042.858887,-14.031029
4048.242188,-14.059677
4053.625488,-14.1983
4059.008789,-14.184662
4064.39209,-14.043903
4069.775391,-14.152142
4075.158691,-14.328201
4080.541992,-14.367306
4085.925293,-14.49834
4091.308594,-14.78524
4096.691895,-14.956295
4102.075195,-14.952996
4107.458496,-14.965958
4112.841797,-14.945926
4118.225098,-15.150932
4123.608398,-15.65451
4128.991699,-16.097817
4134.375,-16.305233
4139.758301,-16.340309
4145.141602,-16.545399
4150.524902,-16.648548
4155.908203,-16.586338
4161.291504,-16.782185
4166.674805,-17.016041
4172.058105,-17.144855
4177.441406,-17.100029
4182.824707,-17.084713
4188.208008,-16.911808
4193.591309,-16.766674
4198.974609,-16.837494
4204.35791,-16.672203
4209.741211,-16.413197
4215.124512,-16.467988
4220.507812,-16.295197
4225.891113,-16.001564
4231.274414,-15.738616
4236.657715,-15.511792
4242.041016,-15.232288
4247.424316,-15.006104
4252.807617,-14.726566
4258.190918,-14.553791
4263.574219,-14.478336
4268.95752,-14.165093
4274.34082,-13.640007
4279.724121,-13.13245
4285.107422,-12.692169
4290.490723,-12.460011
4295.874023,-12.383155
4301.257324,-12.228264
4306.640625,-11.964203
4312.023926,-11.805859
4317.407227,-11.450226
4322.790527,-11.051124
4328.173828,-10.637577
4333.557129,-10.259136
4338.94043,-9.90403300000001
4344.32373,-9.618942
4349.707031,-9.494045
4355.090332,-9.286758
4360.473633,-9.07756000000001
4365.856934,-9.022236
4371.240234,-8.858959
4376.623535,-8.185574
4382.006836,-8.029507
4387.390137,-7.893494
4392.773438,-7.741512
4398.156738,-7.72210700000001
4403.540039,-7.677727
4408.92334,-7.634743
4414.306641,-7.674061
4419.689941,-7.571339
4425.073242,-7.41838
4430.456543,-7.32725600000001
4435.839844,-7.321217
4441.223145,-7.281613
4446.606445,-7.174213
4451.989746,-7.11262900000001
4457.373047,-7.109391
4462.756348,-7.04361299999999
4468.139648,-6.968388
4473.522949,-6.77885
4478.90625,-6.633808
4484.289551,-6.41925000000001
4489.672852,-6.235951
4495.056152,-6.01789
4500.439453,-5.970852
4505.822754,-5.673733
4511.206055,-5.559372
4516.589355,-5.49016899999999
4521.972656,-4.95763
4527.355957,-4.817177
4532.739258,-4.59553600000001
4538.122559,-4.44826500000001
4543.505859,-4.183044
4548.88916,-3.87429
4554.272461,-3.70377300000001
4559.655762,-3.523667
4565.039062,-3.214775
4570.422363,-2.680179
4575.805664,-2.271118
4581.188965,-2.10326
4586.572266,-1.86478400000001
4591.955566,-1.684696
4597.338867,-1.299515
4602.722168,-0.812763000000004
4608.105469,-0.343315000000004
4613.48877,0.038170000000008
4618.87207,-0.0324559999999963
4624.255371,0.150666000000001
4629.638672,0.424592000000004
4635.021973,0.754479000000004
4640.405273,0.877441000000005
4645.788574,1.22539499999999
4651.171875,1.34195700000001
4656.555176,1.306031
4661.938477,1.63152700000001
4667.321777,1.741138
4672.705078,1.995041
4678.088379,2.099823
4683.47168,2.584869
4688.85498,2.492081
4694.238281,2.4571
4699.621582,2.54377700000001
4705.004883,2.934067
4710.388184,3.4188
4715.771484,3.518871
4721.154785,3.82858299999999
