Frequency (Hz)	Level (dB)
4279.724121	-63.819221
4285.107422	-64.212120
4290.490723	-64.933983
4295.874023	-62.768867
4301.257324	-63.084057
4306.640625	-62.324093
4312.023926	-61.320984
4317.407227	-63.879242
4322.790527	-65.345268
4328.173828	-65.866440
4333.557129	-64.722359
4338.940430	-64.743553
4344.323730	-65.151726
4349.707031	-65.936729
4355.090332	-64.669426
4360.473633	-64.294937
4365.856934	-64.038933
4371.240234	-64.611244
4376.623535	-64.742043
4382.006836	-63.907639
4387.390137	-64.558556
4392.773438	-64.781532
4398.156738	-65.972496
4403.540039	-65.172409
4408.923340	-63.523827
4414.306641	-65.165672
4419.689941	-65.970612
4425.073242	-64.351547
4430.456543	-65.304848
4435.839844	-64.293404
4441.223145	-63.602776
4446.606445	-63.438873
4451.989746	-65.061119
4457.373047	-64.469414
4462.756348	-64.128250
4468.139648	-63.810978
4473.522949	-64.634666
4478.906250	-64.668106
4484.289551	-64.841125
4489.672852	-62.673325
4495.056152	-62.159225
4500.439453	-63.048611
4505.822754	-65.800781
4511.206055	-64.296387
4516.589355	-64.261192
4521.972656	-63.436012
4527.355957	-62.279263
4532.739258	-64.235909
4538.122559	-64.518944
4543.505859	-67.052032
4548.889160	-66.636749
4554.272461	-64.608337
4559.655762	-62.497475
4565.039062	-63.566612
4570.422363	-64.741096
4575.805664	-63.507301
4581.188965	-62.495968
4586.572266	-64.483574
4591.955566	-64.457016
4597.338867	-64.145821
4602.722168	-63.671669
4608.105469	-64.356018
4613.488770	-64.975647
4618.872070	-66.319756
4624.255371	-66.524734
4629.638672	-65.247314
4635.021973	-63.476753
4640.405273	-62.992188
4645.788574	-66.490570
4651.171875	-64.293320
4656.555176	-63.830528
4661.938477	-63.483852
4667.321777	-62.638180
4672.705078	-65.373268
4678.088379	-65.217377
4683.471680	-65.626625
4688.854980	-64.389656
4694.238281	-63.999107
4699.621582	-64.950577
4705.004883	-65.100395
4710.388184	-63.794495
4715.771484	-63.381672
4721.154785	-64.816826
4726.538086	-64.083870
4731.921387	-63.516758
4737.304688	-64.989952
4742.687988	-65.752129
4748.071289	-64.401894
4753.454590	-64.475853
4758.837891	-65.007423
4764.221191	-64.724846
4769.604492	-62.593868
4774.987793	-61.466145
4780.371094	-61.896381
4785.754395	-65.899940
4791.137695	-65.218056
4796.520996	-65.276665
4801.904297	-65.543854
4807.287598	-63.681019
4812.670898	-63.374081
4818.054199	-62.745544
4823.437500	-63.881420
4828.820801	-64.453064
4834.204102	-63.529583
4839.587402	-64.137527
4844.970703	-64.404312
4850.354004	-64.685852
4855.737305	-65.435379
4861.120605	-64.590752
4866.503906	-63.154888
4871.887207	-62.961960
4877.270508	-63.245937
4882.653809	-63.897255
4888.037109	-61.988155
4893.420410	-61.756618
4898.803711	-63.530323
4904.187012	-63.659187
4909.570312	-64.576004
4914.953613	-65.327980
4920.336914	-65.738762
4925.720215	-64.537270
4931.103516	-64.281715
4936.486816	-62.968704
4941.870117	-62.862625
4947.253418	-63.649689
4952.636719	-64.432266
4958.020020	-63.401604
4963.403320	-64.366592
4968.786621	-65.492241
4974.169922	-64.733543
4979.553223	-64.453278
4984.936523	-64.115120
4990.319824	-65.793259
4995.703125	-64.358528
5001.086426	-62.124348
5006.469727	-64.584908
5011.853027	-65.103813
5017.236328	-63.878643
5022.619629	-64.009766
5028.002930	-64.340820
5033.386230	-64.174667
5038.769531	-64.527855
5044.152832	-63.688950
5049.536133	-62.779289
5054.919434	-64.429359
5060.302734	-64.557167
5065.686035	-65.548843
5071.069336	-64.243820
5076.452637	-65.021133
5081.835938	-65.594765
5087.219238	-64.284294
5092.602539	-64.232834
5097.985840	-63.923515
5103.369141	-62.783253
5108.752441	-63.597427
5114.135742	-64.268509
5119.519043	-65.215561
5124.902344	-65.403999
5130.285645	-64.739616
5135.668945	-64.494835
5141.052246	-65.763306
5146.435547	-66.368080
5151.818848	-63.776981
5157.202148	-62.871231
5162.585449	-64.879013
5167.968750	-67.311554
5173.352051	-64.755196
5178.735352	-65.610535
5184.118652	-65.156303
5189.501953	-66.479218
5194.885254	-65.726624
5200.268555	-64.713722
5205.651855	-66.495995
5211.035156	-65.065804
5216.418457	-65.475021
5221.801758	-67.133263
5227.185059	-64.813644
5232.568359	-63.751858
5237.951660	-63.794853
5243.334961	-64.964394
5248.718262	-66.294945
5254.101562	-65.336899
5259.484863	-63.318710
5264.868164	-64.029686
5270.251465	-64.194275
5275.634766	-66.171936
5281.018066	-68.988174
5286.401367	-67.564613
5291.784668	-64.155998
5297.167969	-61.963165
5302.551270	-64.393097
5307.934570	-64.114113
5313.317871	-62.141510
5318.701172	-62.451878
5324.084473	-65.414314
5329.467773	-65.225708
5334.851074	-65.193451
5340.234375	-64.518501
5345.617676	-64.955856
5351.000977	-67.769920
5356.384277	-65.371597
5361.767578	-63.716038
5367.150879	-64.572578
5372.534180	-63.251537
5377.917480	-64.498116
5383.300781	-63.517902
5388.684082	-63.682922
5394.067383	-64.786400
5399.450684	-66.051094
5404.833984	-67.406754
5410.217285	-65.521034
5415.600586	-64.355965
5420.983887	-63.300488
5426.367188	-63.148586
5431.750488	-61.728535
5437.133789	-61.736740
5442.517090	-63.039944
5447.900391	-63.946934
5453.283691	-65.659454
5458.666992	-65.939331
5464.050293	-64.440216
5469.433594	-64.942223
5474.816895	-62.477142
5480.200195	-64.255806
5485.583496	-65.849594
5490.966797	-65.973892
5496.350098	-64.242043
5501.733398	-65.094437
5507.116699	-66.005470
5512.500000	-66.127182
5517.883301	-63.265858
5523.266602	-62.784374
5528.649902	-62.675976
5534.033203	-64.693840
5539.416504	-65.347260
5544.799805	-64.925865
5550.183105	-66.316856
5555.566406	-64.370003
5560.949707	-65.427719
5566.333008	-66.992432
5571.716309	-67.333870
5577.099609	-65.092079
5582.482910	-63.385460
5587.866211	-64.682625
5593.249512	-64.931290
5598.632812	-66.691444
5604.016113	-65.883415
5609.399414	-65.278305
5614.782715	-65.082603
5620.166016	-64.319382
5625.549316	-63.333496
5630.932617	-61.344322
5636.315918	-62.622555
5641.699219	-64.947357
5647.082520	-66.103226
5652.465820	-66.497673
5657.849121	-66.281067
5663.232422	-64.089378
5668.615723	-63.228630
5673.999023	-64.648560
5679.382324	-66.477165
5684.765625	-66.246719
5690.148926	-65.934799
5695.532227	-66.132378
5700.915527	-66.743835
5706.298828	-68.091003
5711.682129	-67.494377
5717.065430	-65.081024
5722.448730	-63.087311
5727.832031	-62.675182
5733.215332	-62.743782
5738.598633	-64.924294
5743.981934	-64.924316
5749.365234	-65.902199
5754.748535	-65.713104
5760.131836	-65.990036
5765.515137	-64.921379
5770.898438	-65.003700
5776.281738	-64.692917
5781.665039	-64.425308
5787.048340	-66.819336
5792.431641	-65.911407
5797.814941	-63.172371
5803.198242	-64.699516
5808.581543	-67.371689
5813.964844	-66.567963
5819.348145	-66.034325
5824.731445	-65.488495
5830.114746	-65.919708
5835.498047	-67.367538
5840.881348	-66.861107
5846.264648	-63.823559
5851.647949	-64.719917
5857.031250	-67.189766
5862.414551	-65.837868
5867.797852	-65.242790
5873.181152	-64.640297
5878.564453	-63.097717
5883.947754	-66.480698
5889.331055	-66.447906
5894.714355	-65.463531
5900.097656	-65.418808
5905.480957	-64.784203
5910.864258	-65.040039
5916.247559	-64.924866
5921.630859	-64.213402
5927.014160	-65.757370
5932.397461	-65.027771
5937.780762	-64.312767
5943.164062	-62.453941
5948.547363	-62.328197
5953.930664	-63.231548
5959.313965	-63.187859
5964.697266	-64.197327
5970.080566	-65.573532
5975.463867	-64.911781
5980.847168	-63.546932
5986.230469	-65.239929
5991.613770	-65.782974
5996.997070	-65.082748
6002.380371	-67.503052
6007.763672	-65.429306
6013.146973	-65.308075
6018.530273	-67.160889
6023.913574	-70.104698
6029.296875	-67.477669
6034.680176	-63.819920
6040.063477	-65.511017
6045.446777	-66.807899
6050.830078	-65.589996
6056.213379	-63.197052
6061.596680	-62.808193
6066.979980	-62.883381
6072.363281	-64.254028
6077.746582	-65.067551
6083.129883	-65.937347
6088.513184	-65.208496
6093.896484	-66.055855
6099.279785	-65.641197
6104.663086	-65.975662
6110.046387	-65.324509
6115.429688	-65.364380
6120.812988	-65.720299
6126.196289	-67.159912
6131.579590	-65.724495
6136.962891	-65.231499
6142.346191	-65.732391
6147.729492	-67.245857
6153.112793	-68.218819
6158.496094	-67.890984
6163.879395	-67.011238
6169.262695	-67.026535
6174.645996	-66.039421
6180.029297	-65.866196
6185.412598	-66.526947
6190.795898	-65.185295
6196.179199	-63.779442
6201.562500	-63.369064
6206.945801	-63.304726
6212.329102	-64.059570
6217.712402	-65.258972
6223.095703	-65.402565
6228.479004	-64.942177
6233.862305	-64.932892
6239.245605	-63.835766
6244.628906	-63.147873
6250.012207	-65.313980
6255.395508	-64.321228
6260.778809	-65.524223
6266.162109	-67.782173
6271.545410	-66.683807
6276.928711	-67.925377
6282.312012	-67.711815
6287.695312	-67.284996
6293.078613	-65.243217
6298.461914	-64.302254
6303.845215	-65.042198
6309.228516	-65.537430
6314.611816	-64.404991
6319.995117	-63.318275
6325.378418	-64.241577
6330.761719	-65.032433
6336.145020	-65.701797
