axial, perp, pos
19.5765,1.67398,-0.0778151
19.6192,1.54516,-0.0805372
19.6544,1.64546,-0.083417
19.6092,1.55528,-0.0856459
19.5974,1.64546,-0.0877565
19.5079,1.60313,-0.0904983
19.5313,1.54608,-0.0909914
19.5129,1.57921,-0.0909914
19.4886,1.55712,-0.0909914
19.3966,1.50284,-0.0909914
19.4526,1.5424,-0.0909914
19.4317,1.62429,-0.0909914
19.43,1.62613,-0.0909914
19.5121,1.56817,-0.0916621
19.2359,1.58841,-0.0946997
19.1815,1.54608,-0.0952717
19.2099,1.57737,-0.0957451
19.0316,1.58657,-0.0978557
18.9714,1.59301,-0.0990195
18.922,1.65466,-0.0990589
19.0107,1.48443,-0.0990589
18.9412,1.58381,-0.0990787
18.9304,1.59853,-0.0991181
18.9915,1.49087,-0.0991576
18.8986,1.60681,-0.0991773
18.85,1.65742,-0.0991773
19.004,1.59577,-0.0991576
18.9898,1.65834,-0.0991576
18.932,1.57369,-0.0991378
18.9279,1.53688,-0.0983686
18.9613,1.46327,-0.0982502
19.3296,1.53412,-0.0956268
19.3388,1.53872,-0.0946405
19.389,1.62245,-0.0922538
19.4116,1.63626,-0.0916029
19.5397,1.56725,-0.0901432
19.4669,1.64638,-0.0901432
19.497,1.6887,-0.0891373
19.5933,1.73747,-0.0888414
19.5221,1.70895,-0.0888414
19.5974,1.71263,-0.0888414
19.5112,1.73195,-0.0888414
19.5087,1.74483,-0.0888414
19.5514,1.6887,-0.0888414
19.5037,1.69975,-0.0888414
19.5615,1.77796,-0.0888414
19.4828,1.60129,-0.0888414
19.4778,1.72735,-0.0888414
19.4836,1.67858,-0.0884272
19.5087,1.69791,-0.0861785
19.569,1.74299,-0.0838115
19.5907,1.73931,-0.0809119
19.6284,1.61049,-0.0774995
19.4342,1.56448,-0.0734362
19.3472,1.6473,-0.0708127
19.2442,1.58933,-0.0683274
18.953,1.58289,-0.0657434
18.8651,1.64362,-0.0630016
18.5085,1.56817,-0.0596287
18.2399,1.5148,-0.0569855
18.2047,1.54976,-0.0557428
18.2616,1.53044,-0.0557428
18.2047,1.52676,-0.0557428
18.1788,1.54424,-0.0557428
18.1227,1.50284,-0.0557428
18.2248,1.53872,-0.0557428
18.1762,1.58013,-0.0557428
18.2156,1.49179,-0.0557428
17.9444,1.48903,-0.0534547
17.6782,1.5056,-0.0510088
17.3501,1.51756,-0.0469849
17.058,1.48259,-0.043612
16.7073,1.43934,-0.0402784
16.437,1.40346,-0.037872
16.1625,1.31789,-0.0358009
15.7389,1.4237,-0.0324871
15.4602,1.37033,-0.0294494
15.2401,1.37493,-0.027181
15.0359,1.29764,-0.0249718
14.7647,1.36849,-0.0226837
14.7747,1.31512,-0.0200406
14.455,1.24151,-0.0167662
14.4215,1.27924,-0.0166084
14.2901,1.25071,-0.0166084
14.4826,1.22679,-0.0166084
14.4199,1.23967,-0.0166084
14.3387,1.20011,-0.0166084
14.404,1.31973,-0.0166084
14.3755,1.17066,-0.0166084
14.3178,1.27924,-0.0155433
14.1278,1.23691,-0.0143795
14.0407,1.25992,-0.0117955
13.8608,1.17802,-0.0099414
13.8348,1.07497,-0.0082056
13.8248,1.10257,-0.00589777
13.7285,1.22311,-0.0044184
13.6733,1.20287,-0.0022881
13.536,1.1495,0.000138075
13.3443,1.08141,0.00222893
13.3544,1.11821,0.00289958
13.4239,1.14858,0.00287985
13.4565,1.06853,0.00287985
13.4707,1.0492,0.00287985
13.454,1.05564,0.00287985
13.3586,1.08601,0.00287985
13.4213,1.06392,0.00289958
13.5101,1.06853,0.00287985
13.4347,1.18998,0.00289958
13.3753,1.11453,0.00349133
13.408,1.07589,0.00485235
13.3393,0.962708,0.00917213
13.4213,1.10349,0.0109671
13.2858,1.08141,0.0127818
13.2933,0.993993,0.0147938
13.3979,0.988472,0.0183048
13.5302,1.07957,0.0225654
13.6356,1.04,0.0251888
13.5243,1.09797,0.0255439
13.6624,1.09797,0.0255439
13.685,0.933264,0.0255242
13.7193,0.964549,0.0255242
13.5695,1.01424,0.0255242
13.6348,1.10625,0.0255242
13.618,0.980191,0.0255242
13.6172,1.10349,0.0255439
13.772,0.97099,0.0259778
13.7863,0.965469,0.0274178
13.8147,0.959028,0.0288774
