axial, perp, fakepos, pos
29.9559,2.42298,0.03,-0.0373394
29.976,2.54812,0.03,-0.0374775
30.0263,2.49936,0.03,-0.0374775
30.1309,2.43034,0.03,-0.0374775
30.0145,2.50948,0.03,-0.0374578
30.002,2.41654,0.03,-0.0374578
29.8815,2.49383,0.03,-0.0374578
29.9978,2.46439,0.03,-0.0374578
29.971,2.4331,0.03,-0.0374578
29.9551,2.45979,0.03,-0.0374775
29.9702,2.40182,0.03,-0.0374775
30.1962,2.2684,0.03,-0.0397853
30.4933,2.32269,0.03,-0.042034
30.3862,2.22883,0.03,-0.0436317
30.2799,2.13498,0.03,-0.0453675
30.2079,2.0586,0.03,-0.0471427
29.9241,1.89022,0.03,-0.049273
29.581,1.87089,0.03,-0.0514428
29.5182,1.79452,0.03,-0.0515809
29.4086,1.88746,0.03,-0.0515809
29.4395,1.82581,0.03,-0.0518965
29.2253,1.78624,0.03,-0.0528827
29.1675,1.79268,0.03,-0.0529419
29.1926,1.81477,0.03,-0.0529419
29.1273,1.78072,0.03,-0.0533561
28.3732,1.63534,0.03,-0.0560782
28.0928,1.58105,0.03,-0.0567094
28.0761,1.63626,0.03,-0.0567094
28.1188,1.60957,0.03,-0.0567094
28.2067,1.64914,0.03,-0.0567094
28.0845,1.59577,0.03,-0.0567094
28.0568,1.60773,0.03,-0.0567094
28.1179,1.68318,0.03,-0.0566896
28.0769,1.59761,0.03,-0.0566896
28.3715,1.64638,0.03,-0.0555259
28.9357,1.80556,0.03,-0.0539479
29.3826,1.94083,0.03,-0.051857
29.6521,2.05584,0.03,-0.0508313
29.7961,1.99419,0.03,-0.0500029
29.9593,2.06321,0.03,-0.0489772
30.0966,2.09541,0.03,-0.0471822
30.2464,2.26656,0.03,-0.0450322
30.2698,2.29784,0.03,-0.0427638
30.2916,2.38434,0.03,-0.0405743
30.2983,2.31625,0.03,-0.0405743
30.2539,2.31533,0.03,-0.040594
30.2405,2.33925,0.03,-0.040594
30.197,2.39906,0.03,-0.040594
30.1618,2.2776,0.03,-0.040594
30.1803,2.29324,0.03,-0.0405743
30.0271,2.38158,0.03,-0.0384243
29.355,2.39998,0.03,-0.034144
28.2811,2.43586,0.03,-0.0297453
27.5572,2.59321,0.03,-0.0262737
26.675,2.42482,0.03,-0.0225457
25.6413,2.43494,0.03,-0.0182851
25.1433,2.29968,0.03,-0.0156616
25.1316,2.4285,0.03,-0.0156616
25.0696,2.39538,0.03,-0.0156814
25.181,2.43402,0.03,-0.0156814
25.186,2.43218,0.03,-0.0156814
25.1023,2.3098,0.03,-0.0156814
25.104,2.32361,0.03,-0.0156616
25.0504,2.35029,0.03,-0.0156616
24.8236,2.29692,0.03,-0.013768
24.4402,2.1819,0.03,-0.0110263
23.8928,2.13314,0.03,-0.00785055
23.6652,2.09909,0.03,-0.0058386
23.4543,2.00892,0.03,-0.00248535
23.1797,1.88746,0.03,0.00108488
23.1906,1.87457,0.03,0.00341243
23.2366,1.88194,0.03,0.0034716
23.1998,1.83961,0.03,0.0034716
23.2509,1.97763,0.03,0.0034716
23.1596,1.91506,0.03,0.00345188
23.1705,1.81477,0.03,0.00345188
23.1747,1.88194,0.03,0.00345188
23.2149,1.97763,0.03,0.00345188
23.2701,1.85893,0.03,0.00345188
23.276,1.97211,0.03,0.003945
23.2358,1.83133,0.03,0.00437895
23.3103,1.80556,0.03,0.00487208
23.209,1.84513,0.03,0.00617393
23.3346,1.73471,0.03,0.00854093
23.4534,1.80832,0.03,0.00974415
23.4576,1.73839,0.03,0.00988223
23.4032,1.789,0.03,0.0105726
23.4601,1.82581,0.03,0.0114405
23.6384,1.86077,0.03,0.0127226
23.7522,1.82949,0.03,0.0132552
23.815,1.7982,0.03,0.0141428
24.0226,1.81661,0.03,0.0158589
24.1038,1.85985,0.03,0.0163915
24.272,1.80556,0.03,0.0172988
24.4427,1.77244,0.03,0.0188177
24.7985,1.81292,0.03,0.0205337
24.8487,1.80924,0.03,0.0209874
24.9508,1.81016,0.03,0.0216186
25.422,1.84605,0.03,0.0241829
25.7601,1.71263,0.03,0.0258398
26.0405,1.85985,0.03,0.0265696
26.0682,1.81569,0.03,0.0265499
26.0941,1.73379,0.03,0.0265499
26.0464,1.77244,0.03,0.0265499
26.0648,1.789,0.03,0.0265499
26.0631,1.7568,0.03,0.0265499
26.0439,1.83225,0.03,0.0265696
26.0322,1.80096,0.03,0.0265696
26.0523,1.82673,0.03,0.0265696
26.0464,1.85893,0.03,0.0265696
26.4707,1.82213,0.03,0.0276742
26.3887,1.85801,0.03,0.028187
26.6105,1.85157,0.03,0.0287196
26.7227,1.86813,0.03,0.0293311
27.1102,1.93991,0.03,0.0301792
27.3504,1.9215,0.03,0.0312247
27.707,1.9353,0.03,0.0328027
28.0518,2.008,0.03,0.0342623
28.2242,1.99879,0.03,0.0347752
28.1857,2.0126,0.03,0.0347752
28.3079,1.99143,0.03,0.0347555
28.2594,1.93254,0.03,0.0347555
28.1464,1.99603,0.03,0.0347555
28.1815,2.05584,0.03,0.0347555
28.2334,1.99603,0.03,0.034933
28.852,1.98131,0.03,0.0368463
29.1248,2.13406,0.03,0.0380495
29.4119,2.1543,0.03,0.039095
29.6764,2.18098,0.03,0.0404954
29.9116,2.15982,0.03,0.041028
29.9852,2.2914,0.03,0.0417381
30.2748,2.43955,0.03,0.0433556
30.6264,2.49475,0.03,0.0445982
30.8272,2.42298,0.03,0.0455648
30.9218,2.41102,0.03,0.0465905
31.1168,2.62081,0.03,0.0479712
31.3077,2.71467,0.03,0.049924
31.4583,2.73307,0.03,0.0511075
31.4508,2.72295,0.03,0.0514231
31.3763,2.71375,0.03,0.0519162
31.4207,2.78644,0.03,0.0523501
31.3554,2.81405,0.03,0.0531194
31.3345,2.82233,0.03,0.0535336
31.3303,2.82877,0.03,0.053652
31.4399,2.88122,0.03,0.053652
31.4424,2.79104,0.03,0.053652
31.4433,2.9263,0.03,0.053652
31.3813,2.76252,0.03,0.053652
31.45,2.83153,0.03,0.0536323
31.4968,2.81773,0.03,0.0536125
31.4784,2.78736,0.03,0.0536323
31.4918,2.89318,0.03,0.0536323
31.5002,2.80024,0.03,0.0536323
31.4625,2.82417,0.03,0.0536323
31.4014,2.84993,0.03,0.053652
31.4759,2.86097,0.03,0.053652
31.3788,2.85085,0.03,0.053652
31.4081,2.81497,0.03,0.0540662
31.3587,2.90882,0.03,0.0545396
31.3805,2.90238,0.03,0.0545396
31.3478,2.99992,0.03,0.0545396
31.3068,2.95483,0.03,0.0545396
31.3788,2.91986,0.03,0.0545396
31.4048,2.8895,0.03,0.0545396
31.4064,2.86189,0.03,0.0545396
31.3755,2.90514,0.03,0.0545396
31.3487,2.85821,0.03,0.0545199
31.4257,2.83797,0.03,0.0545199
31.4148,2.83797,0.03,0.0545002
31.3445,2.95759,0.03,0.0545002
31.378,2.87201,0.03,0.0545002
31.3261,2.87662,0.03,0.0545002
31.0641,2.70271,0.03,0.0524882
31.0959,2.65118,0.03,0.0502198
31.0449,2.64014,0.03,0.0491941
30.9813,2.63094,0.03,0.0482671
30.9202,2.51684,0.03,0.0473203
30.7193,2.48831,0.03,0.0457423
30.5854,2.34293,0.03,0.0444799
30.0622,2.22975,0.03,0.0422707
29.5827,2.25276,0.03,0.0404363
29.2797,2.31441,0.03,0.039233
29.2169,2.1865,0.03,0.0387202
28.9708,2.16902,0.03,0.0381284
29.021,2.08713,0.03,0.0381284
29.129,2.14418,0.03,0.0381284
28.9817,2.21135,0.03,0.0381481
29.0319,2.13682,0.03,0.0381481
28.9733,2.12025,0.03,0.0381481
29.0269,2.07241,0.03,0.0381481
28.975,2.13038,0.03,0.0381481
29.0629,2.06505,0.03,0.0381481
29.124,2.11105,0.03,0.0381284
29.0587,2.12485,0.03,0.0381284
28.8796,2.13682,0.03,0.0371224
28.6837,2.06781,0.03,0.0364321
28.6159,2.11381,0.03,0.0359981
28.4268,2.01812,0.03,0.0355444
28.3196,2.05308,0.03,0.0352683
28.3908,1.98591,0.03,0.0351697
28.2803,2.01168,0.03,0.0349132
27.8911,1.96291,0.03,0.0336903
27.7438,2.0172,0.03,0.0328618
27.6584,2.00616,0.03,0.0328421
27.5505,1.93346,0.03,0.0324279
27.3663,1.86721,0.03,0.0313233
27.188,1.95371,0.03,0.0305146
26.7804,1.96383,0.03,0.0293114
26.4624,1.9215,0.03,0.0278517
26.3067,1.89574,0.03,0.0272599
26.0422,1.85065,0.03,0.0262737
25.6739,1.83961,0.03,0.0247549
25.109,1.78164,0.03,0.0220723
24.7675,1.86353,0.03,0.0199617
24.6294,1.83593,0.03,0.019153
24.4946,1.74115,0.03,0.0187387
24.3749,1.80464,0.03,0.018147
24.1908,1.86629,0.03,0.0164901
23.974,1.89022,0.03,0.0150699
23.6953,1.86537,0.03,0.0132158
23.7388,1.81016,0.03,0.0132158
23.6936,1.82673,0.03,0.0132158
23.8351,1.80924,0.03,0.0132158
23.7648,1.76784,0.03,0.0132158
23.743,1.84053,0.03,0.0132158
23.6886,1.789,0.03,0.013196
23.7547,1.789,0.03,0.013196
23.6242,1.74483,0.03,0.0125846
23.3086,1.80832,0.03,0.00871845
23.2366,1.85985,0.03,0.0060753
23.2475,1.9353,0.03,0.00329407
23.2107,1.98959,0.03,0.000493125
23.235,2.06321,0.03,-0.0008679
23.327,2.00248,0.03,-0.00145965
23.24,2.00156,0.03,-0.00145965
23.2676,1.91046,0.03,-0.00145965
23.2718,2.0448,0.03,-0.00143993
23.3697,2.01812,0.03,-0.00143993
23.2534,2.06781,0.03,-0.00143993
23.1822,1.96659,0.03,-0.0014202
23.2325,1.96291,0.03,-0.00143993
23.2551,2.01536,0.03,-0.00143993
23.3463,2.04756,0.03,-0.00242618
23.5606,2.11841,0.03,-0.00388583
23.6041,2.13222,0.03,-0.00451703
23.6133,2.1635,0.03,-0.00595695
23.7288,2.18006,0.03,-0.00664733
23.8594,2.10645,0.03,-0.00712073
23.9071,2.20675,0.03,-0.00787028
24.0837,2.2546,0.03,-0.00968498
24.2912,2.28312,0.03,-0.0111446
24.6026,2.29508,0.03,-0.0130974
24.7985,2.39814,0.03,-0.0137878
24.8897,2.2914,0.03,-0.0140048
24.9583,2.35581,0.03,-0.0147149
25.2077,2.43586,0.03,-0.0160364
25.1299,2.46163,0.03,-0.0160364
25.2195,2.4193,0.03,-0.0160364
25.3048,2.40642,0.03,-0.0160364
25.2998,2.43126,0.03,-0.0160364
25.2504,2.53892,0.03,-0.0160167
25.2621,2.48555,0.03,-0.0160364
25.304,2.51776,0.03,-0.0160364
25.5057,2.53892,0.03,-0.01793
26.5762,2.59321,0.03,-0.0217567
26.921,2.57205,0.03,-0.0233938
27.2132,2.6475,0.03,-0.0243998
27.671,2.6521,0.03,-0.0264907
28.0476,2.71191,0.03,-0.0282857
28.446,2.49751,0.03,-0.0301792
28.8436,2.65578,0.03,-0.0317573
29.0294,2.63278,0.03,-0.0328027
29.2177,2.57757,0.03,-0.0334931
29.2772,2.54536,0.03,-0.0341637
29.3667,2.57849,0.03,-0.034499
29.3751,2.58493,0.03,-0.034499
29.2813,2.62818,0.03,-0.034499
29.4245,2.52604,0.03,-0.034499
29.4261,2.45427,0.03,-0.034499
29.3759,2.54168,0.03,-0.034499
29.5056,2.61345,0.03,-0.034499
29.6571,2.53616,0.03,-0.0358601
29.9467,2.48003,0.03,-0.0378326
30.1217,2.30244,0.03,-0.039884
30.2564,2.39446,0.03,-0.0419945
30.2958,2.36501,0.03,-0.042606
30.2121,2.45887,0.03,-0.0425863
30.2179,2.35397,0.03,-0.0425863
30.1995,2.34201,0.03,-0.0425863
30.2355,2.35857,0.03,-0.0425863
30.2824,2.38158,0.03,-0.0425863
30.3301,2.4239,0.03,-0.0425863
30.3016,2.36961,0.03,-0.0425863
30.2347,2.41194,0.03,-0.0425863
30.2296,2.28404,0.03,-0.0425863
30.2087,2.32177,0.03,-0.0425863
30.2062,2.38618,0.03,-0.0425863
30.3535,2.32913,0.03,-0.0425863
30.233,2.3871,0.03,-0.0425863
30.3167,2.30704,0.03,-0.0425863
30.264,2.32913,0.03,-0.0425863
30.2296,2.32177,0.03,-0.0425863
30.2246,2.41746,0.03,-0.0425863
30.2564,2.36961,0.03,-0.0425863
30.2363,2.36317,0.03,-0.0425863
30.2029,2.2868,0.03,-0.0425863
30.2137,2.41102,0.03,-0.0425863
30.1526,2.27576,0.03,-0.0425863
30.2983,2.37698,0.03,-0.0425863
30.3192,2.29692,0.03,-0.0425863
30.3401,2.21687,0.03,-0.0425863
30.3393,2.2592,0.03,-0.0425863
30.2481,2.34569,0.03,-0.042606
30.2799,2.29692,0.03,-0.0432964
30.3744,2.25552,0.03,-0.0439868
30.3058,2.27116,0.03,-0.0443221
30.3945,2.26748,0.03,-0.0449138
30.3284,2.2684,0.03,-0.0450914
30.3694,2.23251,0.03,-0.0451505
30.2857,2.33833,0.03,-0.0457423
30.2338,2.32177,0.03,-0.0461565
30.1861,2.10461,0.03,-0.0464129
30.1911,2.13498,0.03,-0.0468074
30.197,2.09633,0.03,-0.0472414
30.0807,2.11105,0.03,-0.0474386
30.043,2.22239,0.03,-0.047557
30.0991,2.05584,0.03,-0.0476753
30.043,2.10737,0.03,-0.047774
30.0212,2.13682,0.03,-0.047774
30.0279,2.13406,0.03,-0.047774
30.0656,2.04756,0.03,-0.047774
30.0405,2.1359,0.03,-0.047774
29.9752,2.1543,0.03,-0.047774
29.9677,2.10645,0.03,-0.047774
29.9995,2.18282,0.03,-0.0481685
30.0062,2.1451,0.03,-0.0484643
29.8689,2.21319,0.03,-0.0484841
29.9459,2.16534,0.03,-0.0484841
29.9526,2.18927,0.03,-0.0484841
29.9426,2.16166,0.03,-0.0484841
29.899,2.18927,0.03,-0.0484643
29.971,2.21503,0.03,-0.0484643
29.9292,2.18835,0.03,-0.0484643
29.9384,2.13038,0.03,-0.0484643
29.8781,2.10001,0.03,-0.0484643
29.9652,2.18006,0.03,-0.0484643
30.0313,2.08621,0.03,-0.0484643
30.0045,2.1267,0.03,-0.0484643
29.8965,2.1359,0.03,-0.0484643
29.9652,2.14418,0.03,-0.0484643
29.9476,2.19019,0.03,-0.0484643
29.8773,2.15522,0.03,-0.0484643
29.9836,2.17086,0.03,-0.0484643
29.9442,2.18558,0.03,-0.0484643
29.9919,2.17546,0.03,-0.0484643
29.9735,2.20491,0.03,-0.0484643
29.8965,2.09909,0.03,-0.0484643
29.9225,2.22055,0.03,-0.0484643
29.9166,2.14878,0.03,-0.0484841
29.8781,2.19203,0.03,-0.0484841
29.9283,2.19019,0.03,-0.0484841
29.9375,2.21963,0.03,-0.0484841
29.9836,2.27576,0.03,-0.0484841
29.7517,2.11749,0.03,-0.0497267
29.6521,2.08345,0.03,-0.0502198
29.545,2.03468,0.03,-0.050851
29.5324,2.00432,0.03,-0.050851
29.5601,2.0586,0.03,-0.0508313
29.5416,2.01628,0.03,-0.0508313
29.5868,2.03192,0.03,-0.0508313
29.5634,1.98131,0.03,-0.0508313
29.6136,2.008,0.03,-0.0508313
29.5559,2.01444,0.03,-0.0508116
29.6856,2.14602,0.03,-0.0498254
29.8781,2.17914,0.03,-0.048563
30.0681,2.11933,0.03,-0.0472217
30.202,2.25,0.03,-0.0459198
30.197,2.22791,0.03,-0.0445193
30.2313,2.38618,0.03,-0.0419156
30.0522,2.45611,0.03,-0.0395486
29.7651,2.6567,0.03,-0.0371619
29.3709,2.66958,0.03,-0.034716
28.8562,2.72571,0.03,-0.0321123
28.174,2.72111,0.03,-0.0292719
27.6216,2.61897,0.03,-0.0268852
27.6902,2.72571,0.03,-0.0266879
27.6685,2.72295,0.03,-0.0267077
27.7446,2.68246,0.03,-0.0267077
27.7229,2.79748,0.03,-0.0266879
27.6626,2.76344,0.03,-0.0266879
27.6743,2.70639,0.03,-0.0266879
27.645,2.6245,0.03,-0.0266879
27.7245,2.69811,0.03,-0.0265499
26.5226,2.59137,0.03,-0.0219737
25.5643,2.60977,0.03,-0.0178117
24.9081,2.46807,0.03,-0.014774
24.5323,2.45887,0.03,-0.012052
24.0418,2.39538,0.03,-0.00925103
23.6066,2.41102,0.03,-0.00609503
23.476,2.29692,0.03,-0.00506933
23.4024,2.2822,0.03,-0.0049707
23.3814,2.33373,0.03,-0.0049707
23.4409,2.29324,0.03,-0.0049707
23.5296,2.20583,0.03,-0.0049707
23.4333,2.35581,0.03,-0.0049707
23.4501,2.33741,0.03,-0.0049707
23.5011,2.31072,0.03,-0.00469455
23.2492,2.28588,0.03,-0.00193305
23.0734,2.13774,0.03,0.0018147
23.1789,2.05676,0.03,0.00542437
23.2107,2.02088,0.03,0.00787027
23.3362,1.93991,0.03,0.00956662
