Frequency (Hz)	Level (dB)
869.403076	-61.083061
870.748901	-64.321243
872.094727	-63.703808
873.440552	-64.957054
874.786377	-64.316292
876.132202	-65.031715
877.478027	-68.499153
878.823853	-68.951691
880.169678	-66.201019
881.515503	-67.374794
882.861328	-72.111923
884.207153	-67.388046
885.552979	-65.252045
886.898804	-69.292221
888.244629	-67.681801
889.590454	-66.319366
890.936279	-70.557732
892.282104	-71.526825
893.627930	-68.909119
894.973755	-65.884323
896.319580	-68.671272
897.665405	-65.501534
899.011230	-64.213196
900.357056	-68.238297
901.702881	-70.448402
903.048706	-67.030228
904.394531	-66.308449
905.740356	-71.648712
907.086182	-68.053970
908.432007	-66.280693
909.777832	-67.797043
911.123657	-68.609406
912.469482	-69.494102
913.815308	-67.454697
915.161133	-66.732574
916.506958	-69.191650
917.852783	-65.721107
919.198608	-66.542114
920.544434	-70.506119
921.890259	-68.521561
923.236084	-67.574623
924.581909	-67.475273
925.927734	-63.981792
927.273560	-67.805023
928.619385	-64.632805
929.965210	-63.949890
931.311035	-65.595825
932.656860	-66.863998
934.002686	-67.908081
935.348511	-69.007980
936.694336	-70.156296
938.040161	-70.261810
939.385986	-66.878914
940.731812	-67.408043
942.077637	-64.362007
943.423462	-64.887268
944.769287	-68.452141
946.115112	-68.708809
947.460938	-66.932236
948.806763	-63.326332
950.152588	-63.911560
951.498413	-64.213623
952.844238	-67.497978
954.190063	-69.837479
955.535889	-69.155174
956.881714	-68.396561
958.227539	-66.844131
959.573364	-66.893883
960.919189	-67.483597
962.265015	-72.636307
963.610840	-69.877563
964.956665	-65.673485
966.302490	-65.258430
967.648315	-68.460747
968.994141	-71.527657
970.339966	-72.772514
971.685791	-73.675217
973.031616	-70.760094
974.377441	-70.348572
975.723267	-70.230453
977.069092	-74.458801
978.414917	-73.880463
979.760742	-67.860428
981.106567	-65.050636
982.452393	-66.473740
983.798218	-62.887703
985.144043	-63.805748
986.489868	-65.988197
987.835693	-69.470848
989.181519	-72.772163
990.527344	-75.447227
991.873169	-73.189140
993.218994	-74.332985
994.564819	-73.591454
995.910645	-71.044014
997.256470	-69.817604
998.602295	-70.902214
999.948120	-73.129791
1001.293945	-70.018234
1002.639771	-68.886154
1003.985596	-66.166885
1005.331421	-69.344803
1006.677246	-71.470016
1008.023071	-70.439934
1009.368896	-70.061615
1010.714722	-70.842484
1012.060547	-72.013680
1013.406372	-70.348724
1014.752197	-66.962799
1016.098022	-69.235168
1017.443848	-70.154007
1018.789673	-68.470253
1020.135498	-67.223450
1021.481323	-70.094864
1022.827148	-71.040283
1024.172974	-73.359657
1025.518799	-72.171829
1026.864624	-71.935013
1028.210449	-71.409073
1029.556274	-70.977928
1030.902100	-69.059814
1032.247925	-66.754311
1033.593750	-71.239960
1034.939575	-71.787285
1036.285400	-69.378304
1037.631226	-67.901894
1038.977051	-68.390388
1040.322876	-68.014366
1041.668701	-69.490562
1043.014526	-71.688934
1044.360352	-71.302254
1045.706177	-73.398338
1047.052002	-72.027061
1048.397827	-69.397812
1049.743652	-67.933685
1051.089478	-72.269096
1052.435303	-75.655693
1053.781128	-69.136436
1055.126953	-67.007019
1056.472778	-71.617493
1057.818604	-73.351791
1059.164429	-73.919960
1060.510254	-66.000633
1061.856079	-66.792358
1063.201904	-67.345169
1064.547729	-65.605865
1065.893555	-69.456009
1067.239380	-72.480179
1068.585205	-71.086617
1069.931030	-67.033958
1071.276855	-69.705879
1072.622681	-72.304184
1073.968506	-76.166107
1075.314331	-68.718666
1076.660156	-65.004410
1078.005981	-63.846584
1079.351807	-66.161522
1080.697632	-66.187195
1082.043457	-64.282745
1083.389282	-68.755974
1084.735107	-76.305397
1086.080933	-70.791519
1087.426758	-68.703003
1088.772583	-71.204704
1090.118408	-73.107658
1091.464233	-68.166550
1092.810059	-67.570137
1094.155884	-72.006775
1095.501709	-69.610947
1096.847534	-68.897476
1098.193359	-67.935074
1099.539185	-69.436050
1100.885010	-75.230568
1102.230835	-70.504318
1103.576660	-66.463402
1104.922485	-69.347961
1106.268311	-71.297607
1107.614136	-72.297058
1108.959961	-68.662186
1110.305786	-68.084465
1111.651611	-70.594208
1112.997437	-72.541054
1114.343262	-72.343575
1115.689087	-75.537704
1117.034912	-70.735832
1118.380737	-68.000710
1119.726562	-70.338753
1121.072388	-69.945030
1122.418213	-69.478058
1123.764038	-69.475197
1125.109863	-72.356667
1126.455688	-68.560173
1127.801514	-66.937691
1129.147339	-70.948975
1130.493164	-71.700592
1131.838989	-71.883911
1133.184814	-70.534096
1134.530640	-70.890717
1135.876465	-69.799110
1137.222290	-70.583839
1138.568115	-73.086380
1139.913940	-69.452148
1141.259766	-69.259987
1142.605591	-71.254868
1143.951416	-67.910789
1145.297241	-67.970581
1146.643066	-67.749817
1147.988892	-70.134216
1149.334717	-72.809143
1150.680542	-69.874420
1152.026367	-67.921654
1153.372192	-69.441444
1154.718018	-65.403946
1156.063843	-67.759819
1157.409668	-65.182182
1158.755493	-65.661423
1160.101318	-71.254082
1161.447144	-69.180084
1162.792969	-69.705223
1164.138794	-71.036415
1165.484619	-68.819221
1166.830444	-69.168343
1168.176270	-67.639168
1169.522095	-66.564720
1170.867920	-67.999146
1172.213745	-67.458961
1173.559570	-66.331215
1174.905396	-64.232109
1176.251221	-66.303360
1177.597046	-64.536514
1178.942871	-66.729996
1180.288696	-66.187683
1181.634521	-65.089310
1182.980347	-67.058182
1184.326172	-72.799057
1185.671997	-70.859940
1187.017822	-67.251717
1188.363647	-67.657310
1189.709473	-65.040886
1191.055298	-62.929325
